name_id,folder_path,mutant_num,mutated_line,mutant_vers,mutant_code_from_mutated_line,did_it_crash,last_data_modification_date,last_data_modification_time,last_status_change_date,last_status_change_time,last_access_date,last_access_time,last_inode_date,last_inode_time,duration
Num403Line42Vers6,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num403Line42Vers6,403,42,6,"ydatsortLoc(iNumOfCalcTemp + 1.1) = 0; % constant replaced: 1 -> 1.1
",True,2024-02-06,2024-02-07 17:04:47,2024-02-06,2024-02-07 17:04:40,2024-02-06,2024-02-07 17:04:40,2024-02-06,2024-02-07 17:04:19,0 days 00:00:28
Num409Line42Vers12,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num409Line42Vers12,409,42,12,"ydatsortLoc(iNumOfCalcTemp \ 1) = 0; % operator replaced: '+' -> '\'
",True,2024-02-06,2024-02-07 17:11:03,2024-02-06,2024-02-07 17:10:56,2024-02-06,2024-02-07 17:10:56,2024-02-06,2024-02-07 17:10:36,0 days 00:00:27
Num413Line42Vers16,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num413Line42Vers16,413,42,16,"ydatsortLoc(iNumOfCalcTemp .\ 1) = 0; % operator replaced: '+' -> '.\'
",True,2024-02-06,2024-02-07 20:06:23,2024-02-06,2024-02-07 20:06:16,2024-02-06,2024-02-07 20:06:16,2024-02-06,2024-02-07 20:05:54,0 days 00:00:29
Num415Line43Vers1,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num415Line43Vers1,415,43,1,"% statement deleted: for ii = 2:(iNumOfCalcTemp - 2)
",True,2024-02-06,2024-02-07 14:12:51,2024-02-06,2024-02-07 14:12:46,2024-02-06,2024-02-07 14:12:46,2024-02-06,2024-02-07 14:12:36,0 days 00:00:15
Num416Line43Vers2,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num416Line43Vers2,416,43,2,"for ii = 0:(iNumOfCalcTemp - 2) % constant replaced: 2 -> 0
",True,2024-02-06,2024-02-07 15:28:57,2024-02-06,2024-02-07 15:28:50,2024-02-06,2024-02-07 15:28:50,2024-02-06,2024-02-07 15:28:34,0 days 00:00:23
Num417Line43Vers3,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num417Line43Vers3,417,43,3,"for ii = -2:(iNumOfCalcTemp - 2) % constant replaced: 2 -> -2
",True,2024-02-06,2024-02-07 23:24:56,2024-02-06,2024-02-07 23:24:51,2024-02-06,2024-02-07 23:24:51,2024-02-06,2024-02-07 23:24:37,0 days 00:00:19
Num420Line43Vers6,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num420Line43Vers6,420,43,6,"for ii = 1.8:(iNumOfCalcTemp - 2) % constant replaced: 2 -> 1.8
",True,2024-02-06,2024-02-07 17:59:21,2024-02-06,2024-02-07 17:59:14,2024-02-06,2024-02-07 17:59:14,2024-02-06,2024-02-07 17:58:53,0 days 00:00:28
Num421Line43Vers7,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num421Line43Vers7,421,43,7,"for ii = 2.2:(iNumOfCalcTemp - 2) % constant replaced: 2 -> 2.2
",True,2024-02-06,2024-02-07 22:33:35,2024-02-06,2024-02-07 22:33:28,2024-02-06,2024-02-07 22:33:28,2024-02-06,2024-02-07 22:33:09,0 days 00:00:26
Num432Line43Vers18,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num432Line43Vers18,432,43,18,"for ii = 2:(iNumOfCalcTemp ^ 2) % operator replaced: '-' -> '^'
",True,2024-02-06,2024-02-07 20:46:00,2024-02-06,2024-02-07 20:45:53,2024-02-06,2024-02-07 20:45:53,2024-02-06,2024-02-07 20:45:29,0 days 00:00:31
Num436Line43Vers22,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num436Line43Vers22,436,43,22,"for ii = 2:(iNumOfCalcTemp .^ 2) % operator replaced: '-' -> '.^'
",True,2024-02-06,2024-02-07 22:02:13,2024-02-06,2024-02-07 22:02:06,2024-02-06,2024-02-07 22:02:06,2024-02-06,2024-02-07 22:01:49,0 days 00:00:24
Num440Line52Vers1,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num440Line52Vers1,440,52,1,"% statement deleted:     for kk = 1:ii
",True,2024-02-06,2024-02-07 15:47:01,2024-02-06,2024-02-07 15:46:51,2024-02-06,2024-02-07 15:46:51,2024-02-06,2024-02-07 15:45:53,0 days 00:01:08
Num441Line52Vers2,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num441Line52Vers2,441,52,2,"    for kk = 0:ii % constant replaced: 1 -> 0
",True,2024-02-06,2024-02-07 17:47:03,2024-02-06,2024-02-07 17:46:57,2024-02-06,2024-02-07 17:46:57,2024-02-06,2024-02-07 17:46:36,0 days 00:00:27
Num442Line52Vers3,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num442Line52Vers3,442,52,3,"    for kk = -1:ii % constant replaced: 1 -> -1
",True,2024-02-06,2024-02-07 19:00:48,2024-02-06,2024-02-07 19:00:42,2024-02-06,2024-02-07 19:00:42,2024-02-06,2024-02-07 19:00:30,0 days 00:00:18
Num444Line52Vers5,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num444Line52Vers5,444,52,5,"    for kk = 0.9:ii % constant replaced: 1 -> 0.9
",True,2024-02-06,2024-02-07 14:37:34,2024-02-06,2024-02-07 14:37:28,2024-02-06,2024-02-07 14:37:28,2024-02-06,2024-02-07 14:37:17,0 days 00:00:17
Num445Line52Vers6,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num445Line52Vers6,445,52,6,"    for kk = 1.1:ii % constant replaced: 1 -> 1.1
",True,2024-02-06,2024-02-07 17:13:45,2024-02-06,2024-02-07 17:13:38,2024-02-06,2024-02-07 17:13:38,2024-02-06,2024-02-07 17:13:20,0 days 00:00:25
Num447Line60Vers2,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num447Line60Vers2,447,60,2,"        MatA(kk,0) = double(xdatsortLoc(kk)); % constant replaced: 1 -> 0
",True,2024-02-06,2024-02-07 14:00:38,2024-02-06,2024-02-07 14:00:33,2024-02-06,2024-02-07 14:00:33,2024-02-06,2024-02-07 14:00:22,0 days 00:00:16
