,file_name,cnt_no_v_scaled,cnt_v_scaled,otro_scaled,status_scaled,cnt_no_v_g,cnt_v_g,otro_g,status_g,cnt_no_v_l,cnt_v_l,otro_l,status_l,cnt_no_v_e,cnt_v_e,otro_e,status_e
121,Num423Line43Vers9,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
122,Num1230Line139Vers15,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
123,Num1313Line144Vers12,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
124,Num175Line15Vers19,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
125,Num11Line7Vers11,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
126,Num293Line20Vers44,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
127,Num13Line7Vers13,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
128,Num367Line41Vers11,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
129,Num594Line85Vers16,80,0,0,[],79,1,0,[],0,80,0,[],0,80,0,[]
130,Num1310Line144Vers9,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
131,Num43Line10Vers4,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
132,Num58Line11Vers12,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
133,Num121Line14Vers2,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
134,Num1306Line144Vers5,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
135,Num193Line15Vers37,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
136,Num707Line90Vers24,0,80,0,[],3,77,0,[],5,75,0,[],0,80,0,[]
137,Num1238Line139Vers23,80,0,0,[],0,80,0,[],0,80,0,[],1,79,0,[]
138,Num530Line82Vers13,80,0,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
139,Num123Line14Vers4,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
140,Num1299Line143Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
141,Num739Line101Vers15,46,34,0,[],77,3,0,[],0,80,0,[],0,80,0,[]
142,Num262Line20Vers13,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
143,Num1336Line146Vers22,0,80,0,[],29,51,0,[],0,80,0,[],0,80,0,[]
144,Num1328Line146Vers14,1,79,0,[],37,43,0,[],0,80,0,[],0,80,0,[]
145,Num45Line10Vers6,80,0,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
146,Num1167Line134Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
147,Num524Line82Vers7,79,1,0,[],77,3,0,[],0,80,0,[],0,80,0,[]
148,Num822Line104Vers23,80,0,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
149,Num452Line61Vers1,78,2,0,[],79,1,0,[],1,79,0,[],0,80,0,[]
150,Num140Line14Vers21,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
151,Num105Line13Vers23,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
152,Num520Line82Vers3,79,1,0,[],77,3,0,[],0,80,0,[],0,80,0,[]
153,Num153Line14Vers34,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
154,Num461Line61Vers10,80,0,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
155,Num137Line14Vers18,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
156,Num401Line42Vers4,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
157,Num274Line20Vers25,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
158,Num510Line72Vers12,80,0,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
159,Num157Line15Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
160,Num1200Line137Vers9,80,0,0,[],0,80,0,[],0,80,0,[],1,79,0,[]
161,Num188Line15Vers32,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
162,Num303Line22Vers2,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
163,Num609Line85Vers31,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
164,Num474Line63Vers10,78,2,0,[],78,2,0,[],0,80,0,[],0,80,0,[]
165,Num669Line87Vers16,77,1,2,[],78,2,0,[],0,80,0,[],0,78,2,[]
166,Num569Line84Vers17,79,1,0,[],78,2,0,[],0,80,0,[],0,80,0,[]
167,Num1080Line118Vers12,79,1,0,[],66,14,0,[],1,79,0,[],1,79,0,[]
168,Num286Line20Vers37,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
169,Num1234Line139Vers19,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
170,Num268Line20Vers19,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
171,Num399Line42Vers2,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
172,Num379Line41Vers23,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
173,Num102Line13Vers20,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
174,Num187Line15Vers31,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
175,Num761Line101Vers37,59,21,0,[],79,1,0,[],0,80,0,[],0,80,0,[]
176,Num682Line88Vers12,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
177,Num1333Line146Vers19,0,79,2,[],14,65,0,[],0,80,0,[],0,80,0,[]
178,Num289Line20Vers40,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
179,Num146Line14Vers27,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
180,Num820Line104Vers21,80,0,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
181,Num253Line20Vers4,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
182,Num53Line11Vers7,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
183,Num104Line13Vers22,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
184,Num272Line20Vers23,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
185,Num1353Line150Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
186,Num378Line41Vers22,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
187,Num103Line13Vers21,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
188,Num186Line15Vers30,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
189,Num155Line14Vers36,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
190,Num1354Line150Vers2,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
191,Num658Line87Vers5,77,1,2,[],78,2,0,[],0,80,0,[],0,78,2,[]
192,Num446Line60Vers1,78,2,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
193,Num280Line20Vers31,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
194,Num568Line84Vers16,80,0,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
195,Num475Line63Vers11,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
196,Num251Line20Vers2,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
197,Num189Line15Vers33,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
198,Num353Line38Vers2,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
199,Num160Line15Vers4,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
200,Num809Line104Vers10,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
201,Num1219Line139Vers4,80,0,0,[],0,80,0,[],0,80,0,[],1,79,0,[]
202,Num798Line103Vers8,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
203,Num1367Line151Vers2,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
204,Num265Line20Vers16,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
205,Num86Line13Vers4,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
206,Num294Line20Vers45,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
207,Num91Line13Vers9,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
208,Num216Line16Vers22,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
209,Num419Line43Vers5,80,0,0,[],0,80,0,[],0,80,0,[],80,0,0,[]
210,Num783Line101Vers59,80,0,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
211,Num219Line16Vers25,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
212,Num1381Line152Vers5,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
213,Num773Line101Vers49,45,35,0,[],78,2,0,[],0,80,0,[],0,80,0,[]
214,Num232Line16Vers38,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
215,Num298Line21Vers3,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
216,Num684Line90Vers1,80,0,0,[],0,80,0,[],0,80,0,[],80,0,0,[]
217,Num752Line101Vers28,60,20,0,[],71,9,0,[],1,79,0,[],0,80,0,[]
218,Num895Line113Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
219,Num459Line61Vers8,78,2,0,[],79,1,0,[],1,79,0,[],0,80,0,[]
220,Num1112Line120Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
221,Num84Line13Vers2,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
222,Num1111Line119Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
223,Num1343Line149Vers2,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
224,Num196Line16Vers2,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
225,Num224Line16Vers30,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
226,Num180Line15Vers24,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
227,Num355Line39Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
228,Num269Line20Vers20,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
229,Num217Line16Vers23,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
230,Num525Line82Vers8,80,0,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
231,Num296Line21Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
232,Num1307Line144Vers6,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
233,Num408Line42Vers11,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
234,Num1323Line146Vers9,79,1,0,[],41,39,0,[],0,80,0,[],0,80,0,[]
235,Num799Line103Vers9,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
236,Num292Line20Vers43,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
237,Num341Line35Vers1,80,0,0,[],0,80,0,[],0,80,0,[],80,0,0,[]
238,Num350Line37Vers8,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
239,Num225Line16Vers31,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
240,Num181Line15Vers25,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
241,Num706Line90Vers23,0,80,0,[],76,4,0,[],0,80,0,[],0,80,0,[]
242,Num515Line74Vers4,80,0,0,[],0,80,0,[],0,80,0,[],80,0,0,[]
243,Num343Line37Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
244,Num675Line88Vers5,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
245,Num1314Line145Vers1,0,80,0,[],0,80,0,[],0,80,0,[],80,0,0,[]
246,Num324Line33Vers3,75,5,0,[],79,1,0,[],0,80,0,[],0,80,0,[]
247,Num218Line16Vers24,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
248,Num811Line104Vers12,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
249,Num1380Line152Vers4,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
250,Num718Line92Vers8,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
251,Num406Line42Vers9,79,1,0,[],78,2,0,[],0,80,0,[],0,80,0,[]
252,Num1369Line151Vers4,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
253,Num671Line88Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
254,Num1345Line149Vers4,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
255,Num263Line20Vers14,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
256,Num819Line104Vers20,80,0,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
257,Num277Line20Vers28,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
258,Num198Line16Vers4,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
259,Num830Line112Vers4,75,5,0,[],79,1,0,[],0,80,0,[],0,80,0,[]
260,Num202Line16Vers8,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
261,Num37Line9Vers11,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
262,Num165Line15Vers9,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
263,Num184Line15Vers28,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
264,Num1145Line122Vers27,79,1,0,[],66,14,0,[],0,80,0,[],14,66,0,[]
265,Num1240Line139Vers25,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
266,Num141Line14Vers22,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
267,Num117Line13Vers35,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
268,Num1142Line122Vers24,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
269,Num356Line40Vers1,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
270,Num678Line88Vers8,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
271,Num717Line92Vers7,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
272,Num857Line112Vers31,63,17,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
273,Num275Line20Vers26,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
274,Num21Line8Vers8,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
275,Num722Line93Vers4,80,0,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
276,Num426Line43Vers12,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
277,Num414Line42Vers17,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
278,Num231Line16Vers37,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
279,Num118Line13Vers36,79,1,0,[],80,0,0,[],0,80,0,[],0,80,0,[]
