,file_name,cnt_v,cnt_no_v,otro,status
248,Num400Line42Vers3,0,115,0,[]
249,Num164Line15Vers8,0,115,0,[]
250,Num461Line61Vers10,0,115,0,[]
251,Num524Line82Vers7,0,115,0,[]
252,Num278Line20Vers29,0,115,0,[]
253,Num251Line20Vers2,0,115,0,[]
254,Num773Line101Vers49,0,115,0,[]
255,Num682Line88Vers12,0,115,0,[]
256,Num520Line82Vers3,0,115,0,[]
257,Num187Line15Vers31,0,115,0,[]
258,Num1374Line151Vers9,0,115,0,[]
259,Num761Line101Vers37,0,115,0,[]
260,Num203Line16Vers9,0,115,0,[]
261,Num1236Line139Vers21,0,115,0,[]
262,Num1328Line146Vers14,0,115,0,[]
263,Num635Line86Vers17,0,115,0,[]
264,Num412Line42Vers15,0,115,0,[]
265,Num780Line101Vers56,0,115,0,[]
266,Num722Line93Vers4,0,115,0,[]
267,Num401Line42Vers4,0,115,0,[]
268,Num658Line87Vers5,0,106,9,[]
269,Num1342Line149Vers1,0,115,0,[]
270,Num526Line82Vers9,0,115,0,[]
271,Num108Line13Vers26,0,115,0,[]
272,Num781Line101Vers57,0,115,0,[]
273,Num191Line15Vers35,0,115,0,[]
274,Num272Line20Vers23,0,115,0,[]
275,Num823Line104Vers24,0,115,0,[]
276,Num1329Line146Vers15,0,114,1,[]
277,Num139Line14Vers20,0,115,0,[]
278,Num760Line101Vers36,0,115,0,[]
279,Num1311Line144Vers10,0,115,0,[]
280,Num233Line17Vers1,0,115,0,[]
281,Num180Line15Vers24,0,115,0,[]
282,Num119Line13Vers37,0,115,0,[]
283,Num149Line14Vers30,0,115,0,[]
284,Num199Line16Vers5,0,115,0,[]
285,Num277Line20Vers28,0,115,0,[]
286,Num1293Line141Vers5,0,115,0,[]
287,Num248Line19Vers8,0,115,0,[]
288,Num26Line8Vers13,0,115,0,[]
289,Num368Line41Vers12,0,115,0,[]
290,Num474Line63Vers10,0,115,0,[]
291,Num102Line13Vers20,0,115,0,[]
292,Num113Line13Vers31,0,115,0,[]
293,Num303Line22Vers2,0,115,0,[]
294,Num304Line22Vers3,0,115,0,[]
295,Num790Line102Vers1,0,115,0,[]
296,Num24Line8Vers11,115,0,0,[]
297,Num406Line42Vers9,0,115,0,[]
298,Num23Line8Vers10,0,115,0,[]
299,Num419Line43Vers5,115,0,0,[]
300,Num1332Line146Vers18,0,115,0,[]
301,Num751Line101Vers27,0,115,0,[]
302,Num109Line13Vers27,0,115,0,[]
303,Num1318Line146Vers4,0,115,0,[]
304,Num324Line33Vers3,0,115,0,[]
305,Num679Line88Vers9,0,115,0,[]
306,Num13Line7Vers13,0,115,0,[]
307,Num268Line20Vers19,0,115,0,[]
