,file_name,cnt_nv,cnt_v,cnt_otro,status
270,Num203Line16Vers9,115,80,0,[]
271,Num658Line87Vers5,25,27,0,[]
272,Num178Line15Vers22,115,80,0,[]
273,Num104Line13Vers22,115,80,0,[]
274,Num790Line102Vers1,115,80,0,[]
275,Num90Line13Vers8,115,80,0,[]
276,Num148Line14Vers29,115,80,0,[]
277,Num760Line101Vers36,112,82,0,[]
278,Num109Line13Vers27,115,80,0,[]
279,Num509Line72Vers11,37,158,0,[]
280,Num193Line15Vers37,115,80,0,[]
281,Num112Line13Vers30,115,80,0,[]
282,Num304Line22Vers3,115,80,0,[]
283,Num342Line36Vers1,0,6,0,[]
284,Num1296Line141Vers8,115,80,0,[]
285,Num213Line16Vers19,115,80,0,[]
286,Num609Line85Vers31,115,80,0,[]
287,Num263Line20Vers14,115,80,0,[]
288,Num116Line13Vers34,115,80,0,[]
289,Num128Line14Vers9,115,80,0,[]
290,Num811Line104Vers12,115,80,0,[]
291,Num405Line42Vers8,85,82,0,[]
292,Num175Line15Vers19,115,80,0,[]
293,Num398Line42Vers1,115,80,0,[]
294,Num160Line15Vers4,115,80,0,[]
295,Num337Line34Vers9,0,6,0,[]
296,Num1239Line139Vers24,0,45,0,[]
297,Num1236Line139Vers21,115,80,0,[]
298,Num121Line14Vers2,115,80,0,[]
299,Num195Line16Vers1,115,80,0,[]
300,Num53Line11Vers7,115,80,0,[]
301,Num293Line20Vers44,115,80,0,[]
302,Num100Line13Vers18,115,80,0,[]
303,Num221Line16Vers27,115,80,0,[]
304,Num1381Line152Vers5,3,192,0,[]
305,Num1305Line144Vers4,115,80,0,[]
306,Num1327Line146Vers13,101,94,0,[]
307,Num378Line41Vers22,115,80,0,[]
308,Num296Line21Vers1,115,80,0,[]
309,Num138Line14Vers19,115,80,0,[]
310,Num186Line15Vers30,115,80,0,[]
311,Num341Line35Vers1,0,6,0,[]
312,Num217Line16Vers23,115,80,0,[]
313,Num401Line42Vers4,115,80,0,[]
314,Num267Line20Vers18,115,80,0,[]
315,Num164Line15Vers8,115,80,0,[]
316,Num568Line84Vers16,95,86,0,[]
317,Num1367Line151Vers2,66,129,0,[]
318,Num1116Line121Vers4,115,80,0,[]
319,Num418Line43Vers4,115,80,0,[]
320,Num819Line104Vers20,111,84,0,[]
321,Num43Line10Vers4,115,80,0,[]
322,Num1292Line141Vers4,115,80,0,[]
323,Num1298Line142Vers1,0,45,0,[]
324,Num1166Line133Vers1,115,80,0,[]
325,Num666Line87Vers13,115,80,0,[]
326,Num679Line88Vers9,115,80,0,[]
327,Num154Line14Vers35,115,80,0,[]
328,Num303Line22Vers2,115,80,0,[]
329,Num230Line16Vers36,115,80,0,[]
330,Num431Line43Vers17,0,6,0,[]
331,Num1137Line122Vers19,0,6,0,[]
332,Num511Line73Vers1,115,80,0,[]
333,Num1330Line146Vers16,63,107,0,[]
334,Num150Line14Vers31,115,80,0,[]
335,Num1350Line149Vers9,2,193,0,[]
336,Num449Line60Vers4,34,161,0,[]
337,Num36Line9Vers10,116,79,0,[]
338,Num188Line15Vers32,115,80,0,[]
339,Num722Line93Vers4,116,78,0,[]
340,Num1386Line152Vers10,0,195,0,[]
341,Num1318Line146Vers4,99,96,0,[]
342,Num278Line20Vers29,115,80,0,[]
343,Num352Line38Vers1,115,80,0,[]
344,Num118Line13Vers36,115,80,0,[]
345,Num75Line11Vers29,115,80,0,[]
346,Num298Line21Vers3,115,80,0,[]
347,Num681Line88Vers11,115,80,0,[]
348,Num351Line37Vers9,115,80,0,[]
349,Num1176Line135Vers9,5,5,0,[]
350,Num196Line16Vers2,115,80,0,[]
351,Num1338Line146Vers24,67,128,0,[]
352,Num44Line10Vers5,116,79,0,[]
353,Num459Line61Vers8,25,170,0,[]
354,Num176Line15Vers20,115,80,0,[]
355,Num222Line16Vers28,115,80,0,[]
356,Num107Line13Vers25,115,80,0,[]
357,Num1302Line144Vers1,115,80,0,[]
358,Num424Line43Vers10,115,80,0,[]
359,Num1306Line144Vers5,115,80,0,[]
360,Num103Line13Vers21,115,80,0,[]
361,Num8Line7Vers8,0,6,0,[]
362,Num1289Line141Vers1,115,80,0,[]
363,Num182Line15Vers26,115,80,0,[]
364,Num225Line16Vers31,115,80,0,[]
365,Num353Line38Vers2,115,80,0,[]
366,Num1312Line144Vers11,115,80,0,[]
