,mutant_id,HMR1_v,HMR1_nv,HMR1_cr,HMR2_v,HMR2_nv,HMR2_cr,HMR3_v,HMR3_nv,HMR3_cr,mutant_status
327,Num1166Line133Vers1,0,115,0,0,115,0,0,115,0,eqv/surv
328,Num666Line87Vers13,0,115,0,0,115,0,0,115,0,eqv/surv
329,Num679Line88Vers9,0,115,0,0,115,0,0,115,0,eqv/surv
330,Num154Line14Vers35,0,115,0,0,115,0,0,115,0,eqv/surv
331,Num303Line22Vers2,0,115,0,0,115,0,0,115,0,eqv/surv
332,Num230Line16Vers36,0,115,0,0,115,0,0,115,0,eqv/surv
333,Num431Line43Vers17,115,0,0,115,0,0,2,0,0,killed
334,Num1137Line122Vers19,115,0,0,115,0,0,2,0,0,killed
335,Num511Line73Vers1,0,115,0,0,115,0,0,115,0,eqv/surv
336,Num150Line14Vers31,0,115,0,0,115,0,0,115,0,eqv/surv
337,Num1350Line149Vers9,0,115,0,0,115,0,113,2,0,killed
338,Num449Line60Vers4,76,39,0,2,113,0,94,21,0,killed
339,Num36Line9Vers10,0,115,0,0,115,0,1,114,0,killed
340,Num188Line15Vers32,0,115,0,0,115,0,0,115,0,eqv/surv
341,Num722Line93Vers4,0,115,0,0,115,0,7,108,0,killed
342,Num1386Line152Vers10,0,115,0,0,115,0,115,0,0,killed
343,Num1318Line146Vers4,115,0,0,0,115,0,45,70,0,killed
344,Num278Line20Vers29,0,115,0,0,115,0,0,115,0,eqv/surv
345,Num352Line38Vers1,0,115,0,0,115,0,0,115,0,eqv/surv
346,Num118Line13Vers36,0,115,0,0,115,0,0,115,0,eqv/surv
347,Num75Line11Vers29,0,115,0,0,115,0,0,115,0,eqv/surv
348,Num298Line21Vers3,0,115,0,0,115,0,0,115,0,eqv/surv
349,Num681Line88Vers11,0,115,0,0,115,0,0,115,0,eqv/surv
350,Num351Line37Vers9,0,115,0,0,115,0,0,115,0,eqv/surv
351,Num1176Line135Vers9,115,0,0,0,115,0,2,5,0,killed
352,Num196Line16Vers2,0,115,0,0,115,0,0,115,0,killed
353,Num1338Line146Vers24,115,0,0,0,115,0,66,49,0,killed
354,Num44Line10Vers5,0,115,0,0,115,0,0,115,0,killed
355,Num459Line61Vers8,68,47,0,0,115,0,95,20,0,killed
356,Num176Line15Vers20,0,115,0,0,115,0,0,115,0,eqv/surv
357,Num222Line16Vers28,0,115,0,0,115,0,0,115,0,eqv/surv
358,Num107Line13Vers25,0,115,0,0,115,0,0,115,0,eqv/surv
359,Num1302Line144Vers1,0,115,0,0,115,0,0,115,0,eqv/surv
360,Num424Line43Vers10,0,115,0,0,115,0,0,115,0,eqv/surv
361,Num1306Line144Vers5,0,115,0,0,115,0,0,115,0,eqv/surv
362,Num103Line13Vers21,0,115,0,0,115,0,0,115,0,eqv/surv
363,Num8Line7Vers8,115,0,0,115,0,0,2,0,0,killed
364,Num1289Line141Vers1,0,115,0,0,115,0,0,115,0,eqv/surv
365,Num182Line15Vers26,0,115,0,0,115,0,0,115,0,eqv/surv
366,Num225Line16Vers31,0,115,0,0,115,0,0,115,0,eqv/surv
367,Num353Line38Vers2,0,115,0,0,115,0,0,115,0,eqv/surv
368,Num1312Line144Vers11,0,115,0,0,115,0,0,115,0,eqv/surv
369,Num166Line15Vers10,0,115,0,0,115,0,0,115,0,eqv/surv
370,Num215Line16Vers21,0,115,0,0,115,0,0,115,0,eqv/surv
371,Num519Line82Vers2,0,115,0,0,115,0,11,104,0,killed
372,Num218Line16Vers24,0,115,0,0,115,0,0,115,0,eqv/surv
373,Num434Line43Vers20,114,1,0,114,1,0,2,1,0,killed
