name_id,folder_path,mutant_num,mutated_line,mutant_vers,mutant_code_from_mutated_line,did_it_crash,num_not_crashes,last_data_modification_date,last_data_modification_time,last_status_change_date,last_status_change_time,last_access_date,last_access_time,last_inode_date,last_inode_time,duration
Num115Line13Vers33,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num115Line13Vers33,115,13,33,"    a1Mat = zeros(1,(iMaxArrayLengthAlloc - uint32(3))^ivar,'single'); % operator replaced: '*' -> '^'
",True,0,2024-02-17,2024-02-19 14:38:20,2024-02-16,2024-02-19 09:04:09,2024-02-16,2024-02-19 09:04:09,2024-02-16,2024-02-19 09:03:56,0 days 05:34:24
Num792Line103Vers2,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num792Line103Vers2,792,103,2,"        R0 = single(0); % constant replaced: 2 -> 0
",True,0,2024-02-17,2024-02-19 14:38:39,2024-02-16,2024-02-19 09:17:57,2024-02-16,2024-02-19 09:17:57,2024-02-16,2024-02-19 09:17:45,0 days 05:20:54
Num50Line11Vers4,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num50Line11Vers4,50,11,4,"persistent ErrR a2Mat b1Mat a2Mat b2Mat idMat MatA xhatact xdatsortLoc ydatsortLoc sortindexLoc Rind R1 R2 % constant replaced: 1 -> 2
",True,0,2024-02-17,2024-02-19 14:38:33,2024-02-16,2024-02-19 09:24:00,2024-02-16,2024-02-19 09:24:00,2024-02-16,2024-02-19 09:23:47,0 days 05:14:46
Num1375Line151Vers10,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1375Line151Vers10,1375,151,10,"IQPostPrTimeEstDebugPBuffered.rB1 = rB0.9Temp; % constant replaced: 1 -> 0.9
",True,0,2024-02-17,2024-02-19 14:38:24,2024-02-16,2024-02-19 09:24:13,2024-02-16,2024-02-19 09:24:13,2024-02-16,2024-02-19 09:24:03,0 days 05:14:21
Num1007Line116Vers22,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1007Line116Vers22,1007,116,22,"        a1Mat((ii-2)*ivar \ jj) = xhatact(2); % operator replaced: '+' -> '\'
",True,0,2024-02-17,2024-02-19 14:38:17,2024-02-16,2024-02-19 09:24:26,2024-02-16,2024-02-19 09:24:26,2024-02-16,2024-02-19 09:24:16,0 days 05:14:01
Num1224Line139Vers9,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1224Line139Vers9,1224,139,9,"if single(abs(rB2Temp - rB-1Temp)) >= cCtrlEps % constant replaced: 1 -> -1
",True,0,2024-02-17,2024-02-19 14:38:21,2024-02-16,2024-02-19 09:27:49,2024-02-16,2024-02-19 09:27:49,2024-02-16,2024-02-19 09:27:36,0 days 05:10:45
Num665Line87Vers12,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num665Line87Vers12,665,87,12,"        if single(det(transpose(MatA)*double(idMat)^MatA)) <= cCtrlEps % operator replaced: '*' -> '^'
",True,0,2024-02-17,2024-02-19 14:38:36,2024-02-16,2024-02-19 09:28:04,2024-02-16,2024-02-19 09:28:04,2024-02-16,2024-02-19 09:27:52,0 days 05:10:44
Num163Line15Vers7,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num163Line15Vers7,163,15,7,"    a2.2Mat = zeros(1,(iMaxArrayLengthAlloc - uint32(3))*ivar,'single'); % constant replaced: 2 -> 2.2
",True,0,2024-02-17,2024-02-19 14:38:25,2024-02-16,2024-02-19 09:34:17,2024-02-16,2024-02-19 09:34:17,2024-02-16,2024-02-19 09:34:04,0 days 05:04:21
Num1389Line152Vers13,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1389Line152Vers13,1389,152,13,"IQPostPrTimeEstDebugPBuffered.rB2 = rB2.2Temp; % constant replaced: 2 -> 2.2
",True,0,2024-02-17,2024-02-19 14:38:25,2024-02-16,2024-02-19 09:42:13,2024-02-16,2024-02-19 09:42:13,2024-02-16,2024-02-19 09:42:00,0 days 04:56:25
Num1120Line122Vers2,/Users/alduck/Documents/Github/mt_industrial_usecase/SpecialIssue_PROFES/MutationAnalisys/MutatedFiles/Num1120Line122Vers2,1120,122,2,"for ii = uint0(1):uint32((iNumOfCalcTemp-3)*ivar) % constant replaced: 32 -> 0
",True,0,2024-02-17,2024-02-19 14:38:19,2024-02-16,2024-02-19 09:48:37,2024-02-16,2024-02-19 09:48:37,2024-02-16,2024-02-19 09:48:24,0 days 04:49:55
